chemsys,n_elements,n_entries,status,n_prompts
Cd-Cl-Cu,3,37,ok,1
Cd-Cl-Sn,3,29,ok,1
Cd-Cl-Ta,3,27,ok,1
Cd-Co-Tc,3,18,ok,1
Cd-Cu-Ta,3,28,ok,1
Cd-Dy,2,15,ok,1
Cd-Eu-Ni-Te,4,59,ok,1
Cd-F-Zr,3,31,ok,1
Cd-Fe-Si,3,71,ok,1
Cd-Ga-Li-Tl,4,69,ok,1
Cd-Ge-Mg-Na,4,164,ok,1
Cd-Ge-Pt,3,42,ok,1
Cd-In-Ta,3,26,ok,1
Cd-Nb-Sr,3,31,ok,1
Cd-Nb-Tl,3,21,ok,1
Cd-Ni-W,3,24,ok,1
Cd-O-Pt,3,60,ok,1
Cd-P,2,30,ok,1
Cd-Pb-Sb,3,38,ok,1
Cd-Pt-Tc,3,22,ok,1
Cd-Rh-Sc,3,29,ok,1
Cd-Ru-Te,3,29,ok,1
Cd-Ta-Zr,3,31,ok,1
Ce-Co-Ga-Ge,4,109,ok,1
Ce-F-Pt,3,33,ok,1
Ce-F-S,3,66,ok,1
Ce-N-P,3,48,ok,1
Ce-Ni-Sn,3,62,ok,1
Ce-Pt-Rh-Sn,4,81,ok,1
Ce-Pt-Sr,3,38,ok,1
Ce-Ru-Tb,3,28,ok,1
Ce-Th,2,11,ok,1
Ce-Zr,2,12,ok,1
Cl-Cu-In,3,51,ok,1
Cl-Cu-Na,3,53,ok,1
Cl-Fe-P,3,50,ok,1
Cl-I-K-Mo,4,75,ok,1
Cl-K-Mo-O,4,232,ok,1
Cl-Li-Mn,3,24,ok,1
Cl-Li-Sn,3,39,ok,1
Cl-Mg-Pt,3,42,ok,1
Cl-Na-Rh,3,40,ok,1
Cl-O-Se,3,57,ok,1
Cl-Os-Y,3,19,ok,1
Cl-P-Ru,3,32,ok,1
Cl-Re-Sb,3,29,ok,1
Cl-Re-Sr,3,27,ok,1
Cl-Rh,2,10,ok,1
Cl-Sb-Zr,3,50,ok,1
Cl-Sc,2,18,ok,1
Cl-Se-Zr,3,49,ok,1
Cl-Te-Y,3,29,ok,1
Co-Cr-Mg,3,50,ok,1
Co-Cr-Ru,3,30,ok,1
Co-Cr-Si,3,80,ok,1
Co-Cu-Hf-Ti,4,75,ok,1
Co-Er-Ge,3,72,ok,1
Co-F-In,3,36,ok,1
Co-F-V,3,90,ok,1
Co-Fe-Li-Ni-O,5,1362,ok,1
Co-Fe-Ni,3,61,ok,1
Co-Fe-Tl,3,38,ok,1
Co-Ga-Mo,3,42,ok,1
