sg_sites,n_materials
P6_3/mmc | 2a 2b 2c 2d 4f 12k,23
Cmce | 8f,23
P6/mmm | 1a 2c,23
C2/m | 4i 4i 4i 4i,23
P3m1 | 1a 1a 1b 1b 1c 1c,23
Imm2 | 2a 2a 2a 2b,23
Cmmm | 2a 2c 4i,23
Ima2 | 4a 4b 4b 8c 8c 8c,22
Pm-3m | 1a 1b 3c 3d,22
P-6 | 1a 1c 1f 3j 3j 3j 3k 3k 3k,22
Fd-3m | 8a 16d 32e,22
R3c | 6a 6a 6a 18b 18b 18b 18b 18b,22
C2/c | 4e 4e 8f,22
Cm | 2a 2a 2a 2a 4b 4b,22
P-6m2 | 1a 1b 2g 2h 2h,22
Pbcm | 4c 4d 4d,22
Cmmm | 2a 4i 4j 4j,22
C2/c | 4e 4e 8f 8f 8f 8f,21
P2_1/c | 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e,21
P3m1 | 1a 1a 1a 1b 1c 1c 1c,21
P3m1 | 1a 1a 1a 1a 1b 1b 1b 1b,21
Cmmm | 2a 4j,21
P-3m1 | 2d 2d 2d 2d,21
R3m | 3a 3a,21
C2/c | 4e 4e 8f 8f 8f 8f 8f 8f 8f 8f,20
R3 | 3a 3a 3a 3a 3a 3a 9b 9b 9b 9b 9b 9b 9b 9b 9b 9b,20
Cmmm | 2a 4i 4j,20
P1 | 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a,20
P-1 | 1a 2i 2i 2i 2i 2i,20
Pnna | 4c 4d 8e 8e,20
P6_3/mmc | 2c,20
Fmmm | 8f 8g 8h 8i 16m 16m,20
I4/mmm | 2a 2b 4e,20
Cmmm | 2a 2b 2c 2d,20
Immm | 2a 2c 4i 4j 4j,20
Pbam | 2a 2d 4g 4g 4g 4g 4g 4h 4h 4h 4h 4h,20
R3m | 3a 3a 3a 3a 3a 9b 9b 9b,19
P2/c | 2e 2f 4g 4g 4g 4g 4g,19
P4/mbm | 2a 2c 4g 4g 8j,19
Pbam | 4e 4g 4g 4g 4h 4h 8i 8i 8i,19
I4_1/amd | 4a,19
Pmm2 | 1a 1b 1c 1d 2g 2h,19
Pbcn | 4c 8d 8d 8d 8d,19
P-6m2 | 1a 1b 2h 2i,19
Cmme | 4g 4g 4g,19
P-1 | 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i,18
Fm-3m | 4a,18
P2/c | 2e 2f 4g 4g,18
R-3c | 6a 6b 18e 36f,18
P4/mnc | 4d 4e 8g 8h 8h 8h,18
P4_2/nmc | 2a 8g 8g,18
P-42_1c | 2a 8e,18
C2/m | 2a 2d 4g 4h,18
Amm2 | 2a 2b 2b 4d 4d 4e,18
P2_1 | 2a 2a 2a 2a 2a,18
R3 | 3a 3a 3a 3a 9b 9b,18
Pmmn | 2a 2a 2a,18
P2_1/c | 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e,17
P-1 | 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i,17
I4/mmm | 2a 4d,17
P1 | 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a,17
I4/mmm | 2a,17
P1 | 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a,17
R-3m | 6c 9d,17
Cm | 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a,17
P2/m | 2m 2m 2n 2n,17
Pm | 1a 1a 1a 1a 1a 1a 1b 1b 1b 1b 1b 1b,17
Cmmm | 4e 4g 4j 4j,17
P-1 | 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i,16
P2_13 | 4a 4a 4a 4a 12b,16
C2/m | 4i 4i 8j,16
Fd-3m | 16c 16d 32e 48f,16
