layer,variant,distance,mean_cos
18,raw,42,0.678672
18,raw,43,0.675833
18,raw,44,0.672817
18,raw,45,0.670171
18,raw,46,0.668096
18,raw,47,0.666515
18,raw,48,0.666401
18,raw,49,0.664751
18,raw,50,0.668642
18,raw,51,0.66979
18,raw,52,0.666565
18,centered,0,0.0842224
18,centered,1,0.0748026
18,centered,2,0.0651955
18,centered,3,0.0594389
18,centered,4,0.0548111
18,centered,5,0.0517773
18,centered,6,0.0485012
18,centered,7,0.0446007
18,centered,8,0.042827
18,centered,9,0.0414181
18,centered,10,0.0402415
18,centered,11,0.039246
18,centered,12,0.03758
18,centered,13,0.0355952
18,centered,14,0.0337877
18,centered,15,0.0322832
18,centered,16,0.0298451
18,centered,17,0.0274022
18,centered,18,0.0252568
18,centered,19,0.0234339
18,centered,20,0.0219637
18,centered,21,0.0210413
18,centered,22,0.0200998
18,centered,23,0.0192405
18,centered,24,0.017697
18,centered,25,0.0166177
18,centered,26,0.0152035
18,centered,27,0.0139772
18,centered,28,0.0124282
18,centered,29,0.0103557
18,centered,30,0.00793559
18,centered,31,0.00477971
18,centered,32,0.00331891
18,centered,33,0.00108668
18,centered,34,-0.00231825
18,centered,35,-0.00589623
18,centered,36,-0.00847536
18,centered,37,-0.0119678
18,centered,38,-0.0150999
18,centered,39,-0.0193926
18,centered,40,-0.0272731
18,centered,41,-0.0344386
18,centered,42,-0.0363573
18,centered,43,-0.0389796
18,centered,44,-0.0403965
18,centered,45,-0.0412255
18,centered,46,-0.0423051
18,centered,47,-0.0349183
18,centered,48,-0.0190669
18,centered,49,-0.00585839
18,centered,50,0.0215419
18,centered,51,0.0485261
18,centered,52,0.040998
20,raw,0,0.749881
20,raw,1,0.747702
20,raw,2,0.745476
20,raw,3,0.744142
20,raw,4,0.74308
20,raw,5,0.742185
20,raw,6,0.741108
20,raw,7,0.739865
20,raw,8,0.739373
20,raw,9,0.738771
20,raw,10,0.738073
20,raw,11,0.73743
20,raw,12,0.736591
20,raw,13,0.735814
20,raw,14,0.735126
20,raw,15,0.734468
20,raw,16,0.733601
20,raw,17,0.732702
20,raw,18,0.732004
20,raw,19,0.731302
20,raw,20,0.730739
20,raw,21,0.730332
20,raw,22,0.729881
20,raw,23,0.729833
20,raw,24,0.729534
20,raw,25,0.729716
20,raw,26,0.729757
20,raw,27,0.72977
20,raw,28,0.729825
20,raw,29,0.729738
20,raw,30,0.729198
20,raw,31,0.728499
20,raw,32,0.72781
20,raw,33,0.726887
20,raw,34,0.725681
20,raw,35,0.724356
20,raw,36,0.723461
20,raw,37,0.722063
20,raw,38,0.720706
20,raw,39,0.7187
20,raw,40,0.715741
20,raw,41,0.712818
20,raw,42,0.710655
20,raw,43,0.707713
20,raw,44,0.704674
20,raw,45,0.701791
20,raw,46,0.699675
20,raw,47,0.69778
